id,topic_name,description,overall_sentiment,solution
33,plan_upgrade,I'm paying too much for features I don't use,negative,"I understand wanting to pay only for what you need. Based on your usage, you're only using 30% of your data and none of the premium features. I recommend our Essential Plan at $35/month which includes 25GB data and unlimited calls - saving you $25 monthly. The switch is immediate with pro-rated billing. Shall I help you make this change?"
34,device_support,My phone gets very hot during video calls,negative,"Phone heating during video calls is common but concerning. I recommend closing background apps, reducing screen brightness, and using the speaker instead of holding phone to ear. Also, ensure your apps and OS are updated. If the issue persists, we can run a diagnostic check on your device. Would you like me to schedule a device health check?"
35,customer_service,The technician arrived exactly on time for my installation,positive,"Excellent! We pride ourselves on punctuality and reliability. Thank you for acknowledging our technician's professionalism. I'll share your positive feedback with both the technician and their manager. As our appreciation, I'm adding a complimentary month of our cloud backup service to your account. Is everything working perfectly with your new installation?"
36,data_usage,How can I monitor which apps are using my data?,neutral,You can monitor app-wise data usage through our mobile app under 'Usage > App Data Consumption'. This shows real-time data usage by each application. I also recommend setting app-specific data limits and restricting background data for non-essential apps. Would you like me to guide you through setting up these data monitoring features?
37,billing_issues,I was charged for a call I never made,negative,I apologize for this billing error. Let me investigate this charge immediately. I see a 45-minute call to an international number that seems unusual for your pattern. I'm removing this charge and processing a refund. I'm also adding extra security to your account to prevent such issues. The refund will reflect in 2-3 business days.
38,network_coverage,Why does my phone show 5G but internet is slow?,negative,"This can happen during network congestion or when you're connected to 5G but with weak signal strength. I recommend toggling airplane mode on/off to reconnect to a better tower. I'm also reporting this to our network team for investigation. As compensation for the poor experience, I'm adding 5GB of bonus data to your account."
39,international_roaming,Can I use my phone as a hotspot while roaming?,neutral,"Yes, but hotspot usage while roaming consumes from your roaming data package and may have speed restrictions. Our Premium Roaming package includes dedicated hotspot data at full speed. I recommend checking your specific roaming package details in our app. Would you like me to check if your current package includes hotspot usage?"
40,plan_upgrade,What's the difference between 4G and 5G plans?,neutral,"The main difference is speed and latency. 5G plans offer speeds up to 1Gbps vs 100Mbps on 4G, with much lower latency for gaming/video calls. However, both use the same data allowances. 5G requires a compatible device and coverage. I can check if your device supports 5G and if it's available in your area. Would you like me to verify this?"
41,device_support,How do I backup my contacts before changing phones?,neutral,You can backup contacts through our cloud service in the phone settings or export them to your email. I recommend using our secure cloud backup which automatically saves your contacts. You can access this through our mobile app under 'Backup & Restore'. Would you like me to send you step-by-step instructions for both methods?
42,customer_service,The support chat disconnected in the middle of my issue,negative,"I apologize for the disconnection - this shouldn't happen. Let me address your issue immediately. As compensation for the inconvenience, I'm applying a $10 credit to your account. Our chat system has been updated to maintain connections better, but I'll report this incident to our tech team. What were you trying to resolve when it disconnected?"
43,data_usage,I need more data only for weekend streaming,positive,Perfect! We have a Weekend Data Pass that provides 20GB of high-speed data valid from Friday 6PM to Sunday 11:59PM for just $8. This is ideal for streaming and gaming on weekends without affecting your monthly data. You can activate it through our app or by texting 'WEEKEND' to 555. Would you like me to activate it for this weekend?
44,billing_issues,My payment failed but I have sufficient funds,negative,I apologize for the payment issue. This can happen due to bank security checks or temporary system errors. Let me retry the payment and waive any late fees. I also recommend adding a backup payment method to avoid service interruptions. The payment should process successfully now. Would you like to add a backup card?
45,network_coverage,Will my phone work in mountainous areas during hiking?,neutral,"Coverage in mountainous areas can be spotty due to terrain. I recommend downloading offline maps and important contacts beforehand. Our coverage map shows which hiking trails have service. For emergency situations, your phone should connect to any available network. Would you like me to check coverage for your specific hiking location?"
46,international_roaming,How do I avoid bill shock when traveling internationally?,neutral,To avoid bill shock: 1) Purchase a roaming package before travel 2) Disable data roaming when not needed 3) Use WiFi for data-intensive tasks 4) Download maps and content beforehand 5) Set up spending alerts in our app. I can help you set all these precautions. Would you like me to activate a roaming package for your upcoming trip?
47,plan_upgrade,I want unlimited data without speed restrictions,positive,"Great choice! Our Unlimited Premium plan offers truly unlimited high-speed data, 100GB mobile hotspot, and 4K streaming for $80/month. This includes all premium features with no speed restrictions ever. The plan also includes international roaming benefits. Would you like me to proceed with this upgrade effective immediately?"
48,device_support,My battery drains too fast after the latest update,negative,"This is a known issue with the recent update. I recommend resetting settings (Settings > General > Reset > Reset All Settings) which often resolves battery drain without deleting data. Also, check battery usage by app and close background apps. If it persists, we can run remote diagnostics. Shall I guide you through the reset process?"
49,customer_service,The agent promised a callback but never called,negative,"I sincerely apologize for this broken promise. This is unacceptable and I'm escalating this to our quality team. As immediate compensation, I'm applying a $20 credit to your account. I'll personally ensure your issue gets resolved now. What was the original issue you needed help with?"
50,data_usage,Can I roll over unused data to next month?,neutral,Yes! Our Data Rollover feature automatically carries forward up to 50GB of unused data to the next month. The rolled-over data is used after your new monthly allocation. This feature is included in all our plans at no extra cost. You can track your rolled-over data in our mobile app. Is there anything else about data rollover you'd like to know?
51,billing_issues,Why am I being charged for paper bills?,negative,"I apologize for the confusion. The $2 paper bill fee applies when you choose physical bills over electronic statements. Let me switch you to paperless billing immediately and remove this charge. You'll receive email statements instead, which are more eco-friendly too. I'm also refunding the last 3 months of paper bill fees. The changes are effective immediately."
52,network_coverage,The network keeps switching between 4G and 5G,negative,"Constant network switching can be frustrating and drain battery. I recommend setting your phone to '4G/5G Auto' mode instead of '5G Only' for more stable connectivity. I'm also reporting this tower handoff issue to our network engineers. As compensation, I'm adding 3GB of data to your account. Would you like help changing your network settings?"
53,international_roaming,Do you have packages for cruise ship connectivity?,neutral,"Yes, we have cruise-specific packages starting at $25 for 100MB data and 30 minutes of calls. However, cruise ship connectivity can be expensive and limited. I recommend using port WiFi when available and purchasing smaller packages to manage costs. Would you like me to send you the detailed cruise package options?"
54,plan_upgrade,"I'm a student, do you offer any discounts?",positive,Yes! We have a Student Advantage program offering 20% discount on all plans with verified student email. You also get extra 10GB data monthly and free streaming subscriptions. The verification takes 24 hours and the discount applies from next billing cycle. Would you like me to send you the student verification link?
55,device_support,How do I block spam calls on my Android?,neutral,You can enable our built-in spam protection in call settings or download our 'Call Protect' app which automatically blocks known spam numbers. The app is free and updates its database daily. I can help you set this up through screen sharing or send you step-by-step instructions. Which method would you prefer?
56,customer_service,The store was closed during posted business hours,negative,"I apologize for this inconvenience. This is unacceptable and I'm reporting this to the area manager immediately. As compensation, I'm applying a $25 credit to your account. I can help you with whatever you needed from the store right now, or schedule an appointment to ensure someone is available. What assistance do you need?"
57,data_usage,My data speed is fine but video calls keep freezing,negative,"Video call freezing is often due to network instability rather than speed. I recommend using WiFi for important video calls or enabling 'Video Call Optimization' in network settings. I'm also running a line quality test on your connection. As a temporary solution, I'm boosting your network priority for the next 48 hours. This should improve your video call quality significantly."
58,billing_issues,The payment due date doesn't work for my pay schedule,neutral,I can easily change your billing date to better align with your pay schedule. You can choose any date between 1st-28th of the month. The change takes effect from next billing cycle with pro-rated adjustment. What would be your preferred billing date? I can make that change for you right now.
59,network_coverage,Will weather conditions affect my signal strength?,neutral,"Severe weather like heavy rain or storms can temporarily affect signal strength, but normal weather has minimal impact. Our network is designed to withstand most weather conditions. If you're experiencing consistent weather-related issues, there might be a local tower problem. Would you like me to check for any network advisories in your area?"
60,international_roaming,Can I use my domestic calling minutes internationally?,neutral,"Your domestic calling minutes only apply within the country. For international calls, you need international calling credits or specific international packages. We have packages starting at $10 for 100 minutes to popular countries. Would you like me to check which package works best for your calling needs?"
61,plan_upgrade,What happens if I exceed my data limit?,neutral,"When you exceed your data limit, your speeds reduce to 512Kbps for basic browsing, but you won't be charged overage fees. You can purchase Data Boost packs to restore high-speed data, or wait until your next billing cycle. I recommend setting up data usage alerts to avoid unexpected speed reductions. Would you like me to help set these alerts?"
62,device_support,How do I set up call forwarding to another number?,neutral,"To set up call forwarding: Dial *72 + destination number + #. To disable, dial *73#. You can also set this up in your phone's call settings under 'Call Forwarding'. The feature is free for all calls forwarded within the country. Would you like me to help you set up call forwarding to a specific number?"
63,customer_service,The automated system didn't understand my issue,negative,"I apologize for the frustration with our IVR system. We're constantly improving our voice recognition, but sometimes it fails to understand specific issues. I'm noting your feedback for our development team. Meanwhile, I can help you directly. What was the issue the system couldn't understand? Let me resolve it for you personally right now."
64,data_usage,Can I share my data with family members?,positive,Absolutely! Our Data Sharing feature lets you pool data with up to 5 family members. You can allocate specific amounts to each member and set usage limits. The shared data is used after individual data limits. Setup takes 5 minutes through our family dashboard. Would you like me to help you set up family data sharing?
65,billing_issues,I see a credit on my bill but don't know why,positive,The $20 credit is from our Customer Appreciation Program for your 3-year loyalty with us! We automatically apply these credits to thank long-term customers. You'll also receive exclusive offers and early access to new features. Thank you for being a valued customer! Is there anything else I can help you with today?
66,network_coverage,Why does my phone show different signal bars in same location?,negative,"This can happen due to network optimization, tower maintenance, or your phone's antenna orientation. I recommend updating your carrier settings and ensuring your phone case isn't interfering with signal. I'm also checking for any network work in your area. As compensation, I'm adding 2GB of data to your account."
67,international_roaming,Do I need to unlock my phone for international use?,neutral,"If your phone was purchased from us, it's already unlocked for international use. For phones from other carriers, you may need to request unlocking. I can check your device's unlock status right now. Most modern phones are automatically unlocked after fulfilling contract terms. Would you like me to verify if your phone is unlocked for international carriers?"
68,plan_upgrade,I want to cancel my TV service but keep mobile,neutral,I can help you modify your bundle. You can keep your mobile plan while canceling the TV service. There might be a $10 monthly price adjustment since bundle discounts apply. The change takes effect from next billing cycle. Would you like me to proceed with canceling just the TV service while keeping your mobile plan active?
69,device_support,My visual voicemail hasn't been working for weeks,negative,I apologize for this prolonged issue. Visual voicemail requires proper configuration and sometimes gets stuck. Let me reset your voicemail settings and push a new configuration to your device. This should restore visual voicemail within 2 hours. I'm also applying a $10 credit for the inconvenience. Please restart your phone after 30 minutes for the changes to take effect.
70,customer_service,The website chat support was incredibly helpful,positive,"Thank you for the wonderful feedback about our chat support! I'll share this with our digital support team who work hard to provide quick and effective solutions. As our appreciation, I'm adding a complimentary month of our premium security package to your account. Is there anything else I can assist you with today?"
71,data_usage,How accurate is the data usage meter in the app?,neutral,"Our data usage meter is 98% accurate and updates every 4 hours. There might be slight delays due to processing, but it's reliable for monitoring usage. For real-time usage, you can check your phone's built-in data counter which updates instantly. The difference between both is usually less than 5%. Would you like me to help you set up usage alerts?"
72,billing_issues,I was charged for a phone I already returned,negative,I apologize for this error. Let me check the device return status immediately. I see the phone was received but not processed properly. I'm removing the charge and processing a refund immediately. I'm also escalating this to our device team to prevent recurrence. The refund will appear in 3-5 business days. I'm adding a $15 credit for this mistake.
73,network_coverage,Does building material affect indoor signal strength?,neutral,"Yes, materials like concrete, metal, and low-e glass can significantly reduce signal strength. For better indoor coverage, I recommend WiFi calling or our signal booster program. We offer home signal boosters at discounted rates for customers with persistent indoor coverage issues. Would you like me to check your eligibility for our booster program?"
74,international_roaming,Can I use my eSIM for international travel?,positive,Yes! eSIM is perfect for international travel. You can add a local data plan while keeping your primary line active for calls/texts. We also support dual eSIM on compatible devices. I can help you set up an international eSIM profile before your travel. Would you like me to send you the eSIM activation guide for international travel?
75,plan_upgrade,What's the cancellation fee for my current plan?,neutral,"Your current plan has no cancellation fee since you're month-to-month after completing your 24-month term. You can cancel anytime with 30 days notice. If you're considering cancellation, I'd love to understand why and see if we can offer a better solution. Is there something specific that's making you consider leaving us?"
76,device_support,How do I enable spam detection on iPhone?,neutral,"Go to Settings > Phone > Silence Unknown Callers to automatically silence calls from unknown numbers. For more advanced spam detection, download our 'Call Protect' app from App Store which identifies and blocks spam calls in real-time. The app is free and updates daily. Would you like me to send you the direct app store link?"
77,customer_service,The repair technician was very knowledgeable and friendly,positive,"That's wonderful to hear! Our technicians undergo extensive training and I'm glad it showed during your service visit. I'll ensure this positive feedback is added to their performance record. As a thank you, I'm applying a $15 credit to your account. Is everything working perfectly after the repair?"
78,data_usage,Why did I use so much data overnight?,negative,"I see 3GB of data was used between 2-4 AM, likely from automatic cloud backups or app updates. I recommend scheduling updates for WiFi-only and disabling automatic backups on cellular. I'm applying a 5GB data credit to cover this unexpected usage. Would you like help configuring your apps to use WiFi only for large downloads?"
79,billing_issues,The payment arrangement I made wasn't honored,negative,"I apologize for this serious error. Let me check the payment arrangement system immediately. I see the arrangement was recorded but not applied due to a system glitch. I'm honoring the arrangement now, waiving all late fees, and applying a $20 goodwill credit. This shouldn't happen again as we've fixed the glitch."
80,network_coverage,Will 5G drain my battery faster than 4G?,neutral,"5G can use 10-20% more battery than 4G when actively transferring data, but modern phones optimize this well. You can extend battery by using 'Auto 5G' mode which switches to 4G when 5G isn't needed. For most users, the battery difference is negligible in daily use. Would you like tips to optimize your battery life with 5G?"
81,international_roaming,How do I know which network to connect to abroad?,neutral,"Your phone should automatically connect to the best available partner network. For manual selection, go to Settings > Mobile Networks > Network Operators and choose from available networks. I recommend sticking with automatic selection for the best experience. Would you like me to check which partner networks are available in your destination country?"
82,plan_upgrade,I want to add my child to my plan with controls,positive,"Excellent idea! Our Family Plan with parental controls lets you set data limits, content filters, screen time restrictions, and location tracking. You can manage everything from our family dashboard. Setup takes about 15 minutes. Would you like me to help you add your child and configure the appropriate parental controls?"
83,device_support,My phone won't send pictures via text message,negative,"This is usually due to MMS settings or data issues. First, ensure cellular data is enabled as MMS requires data. Then check MMS settings are correct. I can push the correct APN settings to your device remotely. This typically resolves MMS issues immediately. Would you like me to send the configuration update to your phone now?"
84,customer_service,The installation was completed ahead of schedule,positive,"That's fantastic! We aim to complete installations efficiently while maintaining quality. Thank you for acknowledging our team's punctuality. I'll share this positive feedback with the installation team manager. As our appreciation, I'm adding a complimentary month of our premium technical support to your account. Is everything working perfectly?"
85,data_usage,Can I purchase data that never expires?,neutral,We have Annual Data packages that provide data valid for 365 days. These are perfect for backup data or light users. Packages start at $50 for 50GB valid for one year. The data is used after your monthly data is exhausted. Would you like me to send you the detailed annual data package options?
86,billing_issues,Why am I being taxed for services I don't use?,negative,"Telecom taxes are government-mandated and apply to all active lines regardless of usage. However, I can review your account for any service-specific fees that can be removed. I see a $3 'Premium Content' fee that I'm removing immediately. The tax portion cannot be altered as it's regulatory. The $3 removal is effective immediately."
87,network_coverage,The network icon shows 'R' instead of 4G/5G,negative,"'R' indicates you're roaming on another carrier's network, which shouldn't happen in your home area. This suggests a temporary network issue. I recommend toggling airplane mode to reconnect to our network. I'm also reporting this to our network team. As compensation, I'm adding 3GB of data to your account. Please let me know if the issue persists after restart."
88,international_roaming,Can I use WhatsApp calling while roaming without charges?,neutral,"WhatsApp calls use data, so they'll consume from your roaming data package. Voice calls are very data-efficient (about 0.5MB per minute). I recommend using WhatsApp calling over WiFi when available to save roaming data. Would you like me to calculate how many WhatsApp calling minutes your roaming package would provide?"
89,plan_upgrade,What happens to my current plan if I upgrade mid-cycle?,neutral,"When you upgrade mid-cycle, the new plan takes effect immediately with pro-rated charges. You'll pay for the remaining days of your old plan and the new plan starts fresh. Any unused data from your old plan is forfeited, but you get the full new data allowance immediately. Would you like me to calculate the exact pro-rated charges for you?"
90,device_support,How do I set up emergency SOS on my phone?,neutral,For iPhone: Quickly press side button 5 times. For Android: Press power button 3-5 times (varies by model). I recommend testing this in a safe environment and setting up emergency contacts. This feature can automatically alert emergency services and your contacts. Would you like me to send you device-specific emergency SOS setup instructions?
91,customer_service,The store didn't have the phone model I wanted in stock,negative,"I apologize for the inventory issue. Let me check availability at nearby stores and arrange a transfer, or I can order it for home delivery with free shipping. I'm also applying a $25 accessory credit for the inconvenience. Would you prefer to pick it up from another store or have it delivered to your home?"
92,data_usage,Why does my data usage show differently on different devices?,neutral,"This happens because each device has its own data counter, while our system shows network-side usage. Network usage is more accurate as it includes overhead. The difference is usually 5-10%. I recommend relying on our app data for billing purposes. Would you like me to help you sync your device counters with our network data?"
93,billing_issues,I was promised a discount that never appeared,negative,I apologize for this broken promise. Let me check the promotion notes and apply the discount immediately. I see the $15 monthly discount for 12 months was approved but not activated. I'm activating it now and backdating it for 3 months with credits. The discount will now appear on every bill. I'm adding a $10 goodwill credit for this error.
94,network_coverage,Does 5G work inside buildings and elevators?,neutral,"5G signals can penetrate buildings but may be weaker than 4G in some materials. Elevators typically have the weakest signal due to metal construction. For consistent indoor coverage, I recommend WiFi calling. Most modern buildings have adequate 5G coverage, but it varies by construction. Would you like to check 5G coverage for your specific building?"
95,international_roaming,Can I pause my service while traveling long-term?,positive,"Yes! Our Service Pause feature lets you suspend service for 3-6 months while keeping your number, for $10/month. This is perfect for long-term travel. All services are suspended and no monthly charges apply except the pause fee. Would you like me to explain the service pause options for your travel duration?"
96,plan_upgrade,I want to reduce my plan but keep my number,neutral,Absolutely! You can downgrade to any plan while keeping your number. The change takes effect from your next billing cycle. You'll maintain all your current features that are included in the new plan. Would you like me to show you the available plans that would meet your needs at a lower cost?
97,device_support,How do I clear my phone's cache to improve performance?,neutral,For Android: Settings > Storage > Cached Data > Clear. For iPhone: Offload unused apps or restart device. Clearing cache can free up space and improve performance. I recommend doing this monthly. Would you like device-specific instructions for clearing cache and optimizing performance?
98,customer_service,The online account setup was very smooth and easy,positive,"Thank you for the positive feedback! We've worked hard to make our digital onboarding experience seamless. I'll share your comments with our web development team. As our appreciation, I'm adding 5GB of bonus data to your account this month. Is there anything else about your online account you'd like help with?"
99,data_usage,Can I set data limits for specific apps?,positive,Yes! Our App Data Manager lets you set individual data limits for each app. You can block data access for specific apps or set monthly caps. This is great for controlling data-hungry apps. You can set this up in our app under 'Data Controls > App Limits'. Would you like me to guide you through setting app-specific data limits?
100,billing_issues,Why is there an 'administrative fee' on my bill?,negative,"The $2.50 administrative fee helps cover regulatory compliance costs and billing system maintenance. While this is a standard industry fee, I can offset it by applying a $5 credit to your account this month. I'm also checking if you qualify for any fee waivers based on your payment history. The credit is processed immediately."
101,network_coverage,The network shows full bars but internet doesn't work,negative,"This indicates a data network issue despite good voice signal. I recommend restarting your device and checking APN settings. I'm also running a data network diagnostic on your line. As compensation, I'm adding 5GB of data to your account. Please try restarting your phone - this often resolves temporary data connection issues."
102,international_roaming,Do you have packages for business travelers?,neutral,"Yes! Our Business Traveler package offers 10GB data, unlimited calls to 50 countries, and premium support for $50 for 14 days. This includes dedicated business support and faster network priority. The package is perfect for frequent business travelers. Would you like me to check if your company has a corporate discount available?"
103,plan_upgrade,What's the cheapest plan for basic calling only?,neutral,Our Basic Talk plan is $15/month for unlimited calling and texting with no data. This is perfect for users who primarily need calling services and use WiFi for data. The plan includes all basic features like caller ID and voicemail. Would you like me to switch you to this more economical plan?
